SKU1,CODIGO2,TIPO3,MULTIPLO4,DESCRIPCION5,EXISTENCIA6,UM7,COSTO_PROMEDIO8
2170695020,7501130583560,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  20 NEGRO,20,PZ,34.79731
2170695030,7501130583577,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  30 AMARILLO,46,PZ,30.68426
2170695032,7501130583584,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  32 AMBAR,47,PZ,16.70809
2170695033,7501130583126,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  33 FLOR DE TILO,62,PZ,26.55419
0,7501130583591,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  40 NARANJA,#N/D,#N/D,#N/D
0,7501130583607,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  41 MANDARINA,#N/D,#N/D,#N/D
0,7501130583614,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  51 ROSA MEXICANO,#N/D,#N/D,#N/D
0,7501130583621,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  53 DURAZNO,#N/D,#N/D,#N/D
2170695061,7501130583638,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  61 AMAPOLA,25,PZ,208.3144
2170695064,7501130583645,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  64 FUEGO,20,PZ,38.04645
2170695072,7501130583652,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  72 AZUL MARINO,22,PZ,31.975
0,7501130583669,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  73 AZUL OSCURO,#N/D,#N/D,#N/D
0,7501130583676,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  74 AÑIL,#N/D,#N/D,#N/D
2170695081,7501130583683,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  81 JADE,19,PZ,23.46842
2170695082,7501130583690,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  82 LIMA,150,PZ,37.9534
0,7501130583706,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  86 VERDE MAR,#N/D,#N/D,#N/D
0,7501130583713,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  101 VERDE OSCURO,#N/D,#N/D,#N/D
0,7501130583720,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  102 CAOBA,#N/D,#N/D,#N/D
2170695103,7501130583737,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  103 CAFÉ CLARO,185,PZ,27.06481
0,7501130583744,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  110 AZUL CIELO,#N/D,#N/D,#N/D
0,7501130583751,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  130 ORO,#N/D,#N/D,#N/D
0,7501130583119,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  161 PÚRPURA,#N/D,#N/D,#N/D
2170695162,7501130583768,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO  162 MAGENTA,32,PZ,15.40156
2170695101,7501130585632,B,72,COLECTIVA 72 CRAYONES BOLSA C/72 JUMBO   CAFÉ OSCURO,23,PZ,18.44174
0,7501130586127,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   BLANCO,#N/D,#N/D,#N/D
 ,7501130586134,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   NEGRO,#N/D,#N/D,#N/D
0,7501130586141,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   AMARILLO,#N/D,#N/D,#N/D
0,7501130586158,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   AMBAR,#N/D,#N/D,#N/D
0,7501130586165,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   FLOR DE TILO,#N/D,#N/D,#N/D
2170680040,7501130586172,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   NARANJA,850,PZ,0.21174
0,7501130586189,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   MANDARINA,#N/D,#N/D,#N/D
0,7501130586196,B,100,COLECTIVA 100 CRAYONES BOLSA C/100 DELGADO   DURAZNO,#N/D,#N/D,#N/D
